,station_code,name,departement,is_open,station_type,lon,lat,alt,is_public,created_at,updated_at
0,01004003,AMBERIEU,1,False,4,5.348333,45.955,249.0,True,2024-12-10 21:36:18.493,2025-10-07 17:14:06.955
1,01010001,ANGLEFORT,1,False,4,5.766667,45.9,280.0,True,2024-12-10 21:36:18.493,2025-10-07 17:14:06.955
2,01014001,ARBENT,1,False,4,5.65,46.266667,535.0,True,2024-12-10 21:36:18.494,2025-10-07 17:14:06.955
3,01014002,ARBENT,1,True,1,5.669,46.278167,534.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
4,01025001,BAGE,1,False,4,4.953167,46.325167,200.0,True,2024-12-10 21:36:18.495,2025-10-07 17:14:06.955
5,01027001,BALAN,1,False,4,5.083333,45.833333,197.0,True,2024-12-10 21:36:18.496,2025-10-07 17:14:06.955
6,01027002,BALAN,1,False,4,5.086,45.832833,184.0,True,2024-12-10 21:36:18.497,2025-10-07 17:14:06.956
7,01027003,BALAN_AERO,1,True,2,5.106667,45.833,196.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
8,01028001,BANEINS,1,False,4,4.9045,46.122,243.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.967
9,01029001,BEAUPONT,1,False,4,5.263333,46.411667,210.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.962
10,01033001,BELLEGARDE MAN,1,False,4,5.846667,46.103333,500.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.964
11,01033002,BELLEGARDE,1,False,2,5.814167,46.0865,350.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
12,01034001,BELLEY MAN,1,False,4,5.686667,45.755,277.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.958
13,01034002,BELLEY,1,False,4,5.688333,45.758333,287.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.959
14,01034004,BELLEY,1,True,1,5.688,45.769333,330.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
15,01037001,BENONCES,1,False,4,5.484167,45.862333,944.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.955
16,01043001,BEYNOST,1,False,4,4.990667,45.837333,220.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.956
17,01053001,BOURG EN BRESSE,1,False,4,5.221667,46.206667,240.0,True,2024-12-10 21:27:59.561,2025-10-07 17:06:06.641
18,01053003,BOURG EN BRESSE,1,False,4,5.258333,46.215,250.0,True,2024-12-10 21:36:18.496,2025-10-07 17:14:06.956
19,01053004,BOURG-EN-BRESSE SERV.  HYDRO,1,False,4,5.226667,46.205,246.0,True,2024-12-10 21:36:18.497,2025-10-07 17:14:06.956
20,01059001,BRENAZ,1,False,4,5.721667,45.948333,695.0,True,2024-12-10 21:36:18.497,2025-10-07 17:14:06.958
21,01060001,BRENOD,1,False,4,5.605,46.06,831.0,True,2024-12-10 21:36:18.497,2025-10-07 17:14:06.960
22,01064001,VERIZIEU,1,True,2,5.487167,45.777167,281.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
23,01068001,CERDON,1,False,4,5.465167,46.082,315.0,True,2024-12-10 21:36:18.498,2025-10-07 17:14:06.956
24,01071001,CESSY,1,True,1,6.080333,46.310333,507.0,True,2024-12-10 21:27:59.561,2025-10-07 17:06:06.641
25,01072001,CEYZERIAT_SAPC,1,True,2,5.287667,46.204333,260.0,True,2024-12-10 21:27:59.560,2025-10-07 17:06:06.641
26,01074001,CHALAMONT,1,False,4,5.171667,45.996667,239.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.961
27,01082001,CHANAY,1,False,4,5.788333,46.003333,480.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.961
28,01085001,LA CHAPELLE,1,False,4,5.025,46.07,266.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.956
29,01089001,AMBERIEU,1,True,0,5.329333,45.9765,250.0,True,2024-12-10 21:27:59.561,2025-10-07 17:06:06.641
30,01092001,CHATILLON,1,False,4,5.251,45.969,257.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.959
31,01093001,CHATILLON/CHALA,1,False,4,4.955,46.121667,239.0,True,2024-12-10 21:36:18.496,2025-10-07 17:14:06.960
32,01104001,CHEZERY,1,False,4,5.896667,46.24,700.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.962
33,01105001,CIVRIEUX,1,False,4,4.891167,45.911667,291.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.966
34,01115001,CONFRANCON,1,False,4,5.06,46.253333,200.0,True,2024-12-10 21:36:18.499,2025-10-07 17:14:06.956
